face_block_2,scene_block_2,face_block_4,scene_block_4,face_block_7,scene_block_7,face_block_9,scene_block_9
12,71,35,40,15,34,39,76
71,10,22,55,27,53,17,15
25,30,56,23,37,33,38,59
29,34,12,21,29,45,16,27
11,63,55,5,56,40,69,2
18,13,60,31,24,11,13,61
66,68,53,42,62,36,50,30
70,70,21,0,30,60,76,68
10,49,19,43,35,56,26,13
47,62,61,11,63,46,60,55
7,12,46,51,44,27,79,12
2,12,48,61,3,64,24,64
51,65,33,8,21,62,10,60
16,26,28,10,18,54,54,73
61,5,58,16,51,5,2,4
0,66,17,1,40,61,71,39
77,60,0,2,1,63,67,11
15,57,5,47,55,49,34,23
34,59,8,12,54,48,22,69
24,50,4,50,42,25,15,38
20,21,18,54,46,21,14,78
62,53,10,59,46,14,7,57
43,79,27,32,9,1,40,54
13,38,7,9,4,39,47,72
59,78,37,62,4,51,72,16
63,18,51,29,28,10,0,14
35,72,11,20,32,32,44,14
55,23,14,37,19,20,59,24
9,58,14,27,5,0,35,53
5,29,1,58,31,31,31,65
14,3,54,63,47,22,74,31
42,43,29,3,53,47,75,37
54,14,49,14,0,59,27,8
6,40,34,18,16,6,11,35
23,77,3,17,26,43,61,29
17,64,13,39,58,37,56,48
28,0,44,53,59,29,23,67
78,15,52,4,38,9,58,50
32,11,63,57,7,4,70,62
31,2,57,6,25,38,73,0
4,2,47,13,64,18,53,36
67,55,16,15,6,24,63,49
27,25,25,36,8,3,43,22
33,27,6,35,13,52,20,33
68,61,42,22,20,2,46,75
3,35,20,49,33,41,36,45
21,9,64,34,41,17,25,46
65,56,64,24,34,44,57,46
